Ngày,Thành_phố,Khu_vực,Nhiệt_độ,Áp_suất,Tốc_độ_gió,Hướng_gió,Độ_ẩm,Chỉ_số_UV,Lượng_mưa,Thời_tiết,AQI,PM2.5,PM10,CO,NO2,SO2,O3
2023-01-02,Cần Thơ,Nam Bộ,31.8,996.8,2.4,235,82.7,2.9,0.0,Nắng,60.0,49.1,61.1,3.18,8.2,10.6,16.7
2023-01-02,Huế,Trung Bộ,31.5,1001.5,5.9,99,80.4,5.1,0.0,Nắng,34.0,18.2,36.1,1.58,0.0,9.5,8.1
2023-01-02,Nha Trang,Trung Bộ,25.0,1001.9,6.1,7,83.9,3.7,0.0,Nắng,39.0,28.9,39.4,1.95,14.7,1.7,3.5
2023-01-02,Đà Lạt,Tây Nguyên,19.4,1005.4,8.2,93,75.9,4.8,0.0,Nắng,31.0,28.2,49.8,1.97,4.9,5.6,7.1
2023-01-02,Vũng Tàu,Nam Bộ,34.1,996.0,6.8,167,71.5,2.8,0.0,Nắng,50.0,35.1,60.8,2.42,4.2,0.5,17.7
2023-01-02,Hạ Long,Bắc Bộ,15.1,994.4,1.6,148,69.3,2.5,0.0,Mây,61.0,59.6,79.7,2.37,10.3,5.4,21.4
2023-01-03,Hà Nội,Bắc Bộ,21.4,1002.7,2.5,250,75.6,1.7,6.4,Mưa vừa,91.0,69.8,81.2,4.84,21.7,17.8,14.0
2023-01-03,TP Hồ Chí Minh,Nam Bộ,32.7,1000.9,4.8,144,69.5,2.1,0.0,Mây,76.0,53.0,67.9,4.28,20.0,12.8,27.8
2023-01-03,Đà Nẵng,Trung Bộ,28.1,1003.8,4.3,184,87.2,3.5,0.0,Mây,50.0,44.4,86.2,3.03,3.9,5.9,11.5
2023-01-03,Hải Phòng,Bắc Bộ,12.8,1006.5,9.5,213,70.1,1.0,1.4,Mưa nhẹ,61.0,47.8,73.6,3.37,14.4,6.5,21.4
2023-01-03,Cần Thơ,Nam Bộ,32.2,1003.0,4.1,174,72.0,2.0,0.0,Nắng,55.0,48.3,74.8,2.32,16.5,11.2,13.7
2023-01-03,Huế,Trung Bộ,31.2,1005.0,3.9,51,72.8,5.4,0.0,Nắng,23.0,15.2,35.5,1.63,7.3,5.6,6.1
2023-01-03,Nha Trang,Trung Bộ,23.2,1003.6,10.3,79,78.0,2.5,3.4,Mưa nhẹ,37.0,28.7,43.1,1.43,1.2,6.3,12.0
2023-01-03,Đà Lạt,Tây Nguyên,16.1,1000.1,7.3,343,72.6,1.8,0.0,Nắng,42.0,36.2,65.5,2.57,0.0,4.7,11.3
2023-01-03,Vũng Tàu,Nam Bộ,31.0,1000.9,2.3,128,77.1,5.6,0.0,Nắng,46.0,39.4,55.8,2.86,5.0,8.1,13.6
2023-01-03,Hạ Long,Bắc Bộ,19.8,998.1,9.0,300,73.4,1.0,2.6,Mưa nhẹ,69.0,59.2,87.8,4.41,28.1,12.3,20.3
2023-01-04,Hà Nội,Bắc Bộ,15.4,1000.1,0.3,47,68.0,3.0,0.0,Nắng,81.0,56.4,90.6,3.99,9.7,12.6,26.5
2023-01-04,TP Hồ Chí Minh,Nam Bộ,35.6,998.2,0.8,272,71.9,2.2,0.0,Nắng,72.0,50.6,57.7,3.91,1.5,10.8,17.2
2023-01-04,Đà Nẵng,Trung Bộ,30.3,992.8,7.4,257,73.1,1.2,0.0,Nắng,67.0,53.6,83.0,2.46,9.7,9.9,17.8
2023-01-04,Hải Phòng,Bắc Bộ,21.7,1004.2,2.2,353,67.6,0.4,4.6,Mưa nhẹ,79.0,51.6,69.3,3.83,18.6,6.8,27.5
2023-01-04,Cần Thơ,Nam Bộ,31.5,1002.6,3.8,106,68.5,2.9,0.0,Nắng,27.0,20.9,2.0,1.67,8.3,0.0,9.6
2023-01-04,Huế,Trung Bộ,28.9,995.2,1.3,50,76.0,1.4,0.0,Nắng,52.0,43.6,64.7,3.0,11.5,5.1,11.5
2023-01-04,Nha Trang,Trung Bộ,30.1,998.1,4.6,261,77.9,5.5,0.0,Nắng,32.0,28.4,46.8,1.65,5.8,6.1,10.7
2023-01-04,Đà Lạt,Tây Nguyên,16.4,1007.9,0.7,84,66.1,0.4,0.0,Nắng,50.0,30.2,35.6,2.53,9.7,3.8,10.2
2023-01-04,Vũng Tàu,Nam Bộ,28.1,999.2,1.6,97,77.1,0.7,0.0,Mây,72.0,49.8,84.6,3.71,11.3,6.0,19.3
2023-01-04,Hạ Long,Bắc Bộ,19.4,996.9,0.8,84,74.5,0.8,0.0,Nắng,71.0,53.5,52.9,2.91,20.3,7.4,13.8
2023-01-05,Hà Nội,Bắc Bộ,21.6,1005.9,4.5,53,73.3,3.3,0.0,Mây,71.0,47.3,87.5,2.63,12.7,10.6,7.4
2023-01-05,TP Hồ Chí Minh,Nam Bộ,28.2,995.7,1.1,186,78.8,6.2,0.0,Nắng,72.0,51.9,80.6,3.59,13.6,8.7,16.2
2023-01-05,Đà Nẵng,Trung Bộ,28.1,994.5,4.4,337,78.3,0.8,0.0,Nắng,53.0,40.0,46.8,3.21,11.8,11.9,11.4
2023-01-05,Hải Phòng,Bắc Bộ,17.6,995.9,6.9,212,62.8,0.0,0.0,Nắng,50.0,28.6,35.0,3.06,3.5,6.1,7.5
2023-01-05,Cần Thơ,Nam Bộ,31.4,997.1,2.3,114,68.4,0.3,0.0,Nắng,60.0,47.5,74.3,2.48,13.4,2.2,5.2
2023-01-05,Huế,Trung Bộ,30.3,991.8,7.5,276,66.8,5.0,6.8,Mưa vừa,46.0,27.5,41.4,3.09,11.1,6.3,3.8
2023-01-05,Nha Trang,Trung Bộ,25.8,993.2,3.2,132,76.1,3.0,6.7,Mưa vừa,47.0,43.5,71.7,2.02,6.2,5.2,7.1
2023-01-05,Đà Lạt,Tây Nguyên,16.8,1002.8,1.8,53,72.1,7.5,0.0,Nắng,46.0,38.2,43.1,1.72,13.8,16.7,18.3
2023-01-05,Vũng Tàu,Nam Bộ,34.6,1003.7,9.9,288,70.5,3.7,0.0,Nắng,64.0,55.8,75.7,2.61,9.3,13.9,26.4
2023-01-05,Hạ Long,Bắc Bộ,16.3,996.1,8.7,183,72.6,5.4,0.0,Mây,53.0,34.9,61.4,2.66,8.9,4.2,28.4
2023-01-06,Hà Nội,Bắc Bộ,23.9,1000.7,11.3,272,72.6,4.2,0.0,Nắng,61.0,48.8,57.5,3.43,8.5,7.9,9.7
2023-01-06,TP Hồ Chí Minh,Nam Bộ,30.0,1005.5,3.4,130,84.2,5.7,0.0,Nắng,86.0,71.0,107.9,4.3,17.3,8.5,19.4
2023-01-06,Đà Nẵng,Trung Bộ,24.5,997.6,1.6,105,78.0,1.9,0.0,Nắng,47.0,49.1,51.6,2.21,11.2,10.1,15.3
2023-01-06,Hải Phòng,Bắc Bộ,15.1,999.4,2.6,211,70.1,5.4,0.0,Nắng,60.0,37.0,52.9,2.89,12.6,7.3,16.1
2023-01-06,Cần Thơ,Nam Bộ,34.0,998.7,5.8,294,78.8,3.1,0.0,Nắng,55.0,36.7,53.2,2.31,12.8,14.7,21.7
2023-01-06,Huế,Trung Bộ,28.4,1002.4,1.2,263,78.2,4.5,0.0,Nắng,32.0,24.6,37.7,2.29,0.2,9.0,7.9
2023-01-06,Nha Trang,Trung Bộ,30.6,996.1,7.6,91,74.8,7.7,0.0,Mây,36.0,21.9,40.2,1.91,2.6,12.8,16.0
2023-01-06,Đà Lạt,Tây Nguyên,20.1,998.0,1.9,337,74.9,5.1,0.0,Nắng,14.0,5.9,0.0,0.57,0.0,1.9,0.6
2023-01-06,Vũng Tàu,Nam Bộ,35.3,1000.7,1.5,341,68.8,2.0,10.7,Mưa vừa,39.0,22.6,25.6,1.6,5.2,1.3,13.2
2023-01-06,Hạ Long,Bắc Bộ,22.5,997.3,3.0,120,80.9,4.6,0.0,Nắng,46.0,34.6,64.2,2.27,10.4,7.3,14.5
2023-01-07,Hà Nội,Bắc Bộ,12.6,992.3,6.4,84,74.1,1.7,0.0,Mây,73.0,49.0,61.8,3.64,12.9,15.8,12.3
2023-01-07,TP Hồ Chí Minh,Nam Bộ,35.0,994.5,1.1,16,62.9,1.9,1.3,Mưa nhẹ,69.0,51.4,100.9,2.92,10.8,13.0,21.7
2023-01-07,Đà Nẵng,Trung Bộ,25.5,1001.7,1.4,64,84.2,2.6,2.1,Mưa nhẹ,48.0,36.9,47.6,2.25,12.7,9.1,14.3
2023-01-07,Hải Phòng,Bắc Bộ,20.0,1000.3,4.0,244,79.3,1.1,0.0,Nắng,77.0,63.4,93.2,3.16,9.5,3.9,29.3
2023-01-07,Cần Thơ,Nam Bộ,34.6,987.0,1.9,202,68.1,8.0,0.0,Mây,60.0,38.0,52.1,1.95,10.8,11.3,6.5
2023-01-07,Huế,Trung Bộ,26.8,1007.9,3.7,161,67.3,7.8,0.0,Mây,61.0,51.4,72.5,3.02,27.2,10.5,9.3
2023-01-07,Nha Trang,Trung Bộ,29.3,999.3,9.3,223,80.6,5.5,0.0,Nắng,25.0,16.4,36.0,1.88,6.3,0.0,0.0
2023-01-07,Đà Lạt,Tây Nguyên,18.7,1006.0,5.0,110,66.0,10.5,0.0,Nắng,22.0,25.6,42.8,1.74,2.0,0.0,11.6
2023-01-07,Vũng Tàu,Nam Bộ,30.8,994.7,1.5,140,58.9,2.1,0.0,Nắng,55.0,38.6,64.9,2.99,0.0,4.2,2.2
2023-01-07,Hạ Long,Bắc Bộ,20.9,1004.9,4.7,218,69.8,3.8,0.0,Nắng,59.0,39.7,59.8,3.89,16.5,9.5,22.8
2023-01-08,Hà Nội,Bắc Bộ,17.7,996.3,0.9,305,72.1,1.0,0.0,Mây,63.0,49.9,66.5,2.9,2.9,6.1,18.3
2023-01-08,TP Hồ Chí Minh,Nam Bộ,33.7,1002.2,5.4,298,72.4,3.2,0.0,Nắng,83.0,55.1,74.5,4.01,18.7,13.4,20.1
2023-01-08,Đà Nẵng,Trung Bộ,30.6,1006.0,4.3,15,80.3,1.3,0.0,Mây,40.0,19.8,13.5,2.3,9.9,5.7,13.0
2023-01-08,Hải Phòng,Bắc Bộ,16.4,998.9,1.6,267,72.5,0.1,0.0,Nắng,68.0,55.9,71.6,4.67,10.6,10.2,21.2
2023-01-08,Cần Thơ,Nam Bộ,34.2,993.1,1.6,202,77.7,10.7,0.0,Nắng,76.0,55.9,81.1,3.57,21.1,8.8,5.4
2023-01-08,Huế,Trung Bộ,26.0,995.9,4.0,235,65.2,1.2,0.0,Nắng,48.0,43.5,84.8,1.53,12.4,8.2,5.7
2023-01-08,Nha Trang,Trung Bộ,27.2,993.5,5.3,275,72.9,0.4,0.0,Nắng,55.0,42.2,63.7,3.64,21.7,11.9,14.9
2023-01-08,Đà Lạt,Tây Nguyên,19.9,1001.9,5.3,310,64.8,7.0,0.0,Nắng,37.0,20.8,20.0,1.93,13.2,5.8,17.8
2023-01-08,Vũng Tàu,Nam Bộ,30.5,999.7,8.9,133,63.8,5.5,7.6,Mưa vừa,52.0,48.9,85.7,2.19,18.1,11.2,25.0
2023-01-08,Hạ Long,Bắc Bộ,22.9,999.2,0.9,153,68.9,3.8,0.0,Nắng,59.0,44.6,44.4,3.27,7.1,7.9,15.4
2023-01-09,Hà Nội,Bắc Bộ,12.8,1005.0,2.2,100,80.0,1.2,0.0,Nắng,70.0,49.9,89.6,3.38,15.0,11.3,15.7
2023-01-09,TP Hồ Chí Minh,Nam Bộ,30.1,1000.4,3.2,62,67.8,1.1,0.0,Mây,82.0,47.8,80.2,3.17,12.5,16.1,27.1
2023-01-09,Đà Nẵng,Trung Bộ,28.6,993.4,6.6,190,83.9,0.2,0.0,Mây,52.0,40.7,52.1,3.05,18.7,7.6,7.3
2023-01-09,Hải Phòng,Bắc Bộ,19.8,1002.6,1.8,326,68.6,5.9,3.4,Mưa nhẹ,68.0,51.7,79.9,2.78,14.2,10.7,21.3
2023-01-09,Cần Thơ,Nam Bộ,32.5,1004.1,0.4,336,68.4,4.9,0.0,Nắng,44.0,39.6,68.6,3.3,14.4,5.0,6.6
2023-01-09,Huế,Trung Bộ,25.4,1003.4,1.4,175,74.5,4.7,0.0,Nắng,49.0,35.2,59.0,2.24,17.0,7.0,16.6
2023-01-09,Nha Trang,Trung Bộ,30.0,1002.6,0.9,177,74.5,9.0,0.0,Nắng,43.0,29.8,56.8,1.98,9.8,7.4,15.3
2023-01-09,Đà Lạt,Tây Nguyên,18.2,997.4,3.2,149,67.2,5.6,3.0,Mưa nhẹ,26.0,5.7,3.7,1.67,3.0,0.0,11.7
2023-01-09,Vũng Tàu,Nam Bộ,35.9,996.0,4.1,256,73.6,1.4,0.0,Mây,43.0,29.2,37.9,2.74,10.8,5.5,7.2
2023-01-09,Hạ Long,Bắc Bộ,20.1,989.0,6.8,5,76.0,6.3,0.0,Nắng,70.0,47.7,71.9,3.14,11.0,10.0,21.7
2023-01-10,Hà Nội,Bắc Bộ,17.4,1002.5,2.7,158,75.8,5.7,0.0,Nắng,65.0,43.3,61.5,3.44,14.3,11.6,17.5
2023-01-10,TP Hồ Chí Minh,Nam Bộ,36.0,994.0,2.1,22,74.8,0.7,0.0,Nắng,62.0,56.4,77.0,3.47,10.0,13.8,12.3
2023-01-10,Đà Nẵng,Trung Bộ,26.4,1004.8,2.8,126,71.9,1.8,0.0,Nắng,44.0,30.9,46.3,3.54,9.6,10.7,17.4
2023-01-10,Hải Phòng,Bắc Bộ,23.0,996.7,3.8,214,62.1,5.6,0.0,Nắng,66.0,45.3,78.6,3.16,21.1,4.1,25.7
2023-01-10,Cần Thơ,Nam Bộ,34.2,1006.3,0.9,62,73.9,2.0,0.0,Nắng,54.0,34.8,61.1,2.66,12.6,10.5,8.3
2023-01-10,Huế,Trung Bộ,29.6,1004.4,3.7,108,76.4,0.7,13.9,Mưa vừa,34.0,32.3,36.2,1.12,12.3,5.7,1.3
2023-01-10,Nha Trang,Trung Bộ,26.5,999.0,5.9,134,78.8,3.6,6.0,Mưa vừa,47.0,42.5,51.8,2.08,6.7,4.2,5.5
2023-01-10,Đà Lạt,Tây Nguyên,18.9,1000.9,0.2,151,71.1,6.3,0.0,Mây,38.0,32.6,51.3,1.88,9.2,4.9,7.8
2023-01-10,Vũng Tàu,Nam Bộ,34.4,994.5,2.6,70,82.3,7.7,0.0,Mây,47.0,34.2,46.5,3.26,12.4,18.8,11.4
2023-01-10,Hạ Long,Bắc Bộ,16.7,998.0,8.6,137,67.6,4.4,0.0,Nắng,63.0,53.6,83.2,3.25,18.9,12.8,21.3
2023-01-11,Hà Nội,Bắc Bộ,19.3,994.3,1.4,314,63.9,0.7,0.4,Mưa nhẹ,64.0,54.2,89.6,2.67,18.4,12.7,19.0
2023-01-11,TP Hồ Chí Minh,Nam Bộ,31.8,1004.5,4.3,284,74.4,2.6,0.0,Nắng,77.0,65.2,103.6,3.66,23.8,5.7,27.0
2023-01-11,Đà Nẵng,Trung Bộ,26.0,1009.1,3.7,45,73.3,2.8,0.0,Nắng,52.0,37.6,37.3,2.2,19.1,9.4,11.9
2023-01-11,Hải Phòng,Bắc Bộ,21.6,1006.8,9.4,125,62.9,1.8,0.0,Nắng,64.0,44.0,67.9,3.0,8.8,12.5,13.8
2023-01-11,Cần Thơ,Nam Bộ,33.1,1000.5,2.9,322,80.5,5.3,0.0,Nắng,62.0,51.5,69.2,3.55,7.2,6.0,15.9
2023-01-11,Huế,Trung Bộ,29.6,1001.6,6.6,281,70.9,1.5,0.0,Mây,45.0,29.6,35.2,2.38,1.1,11.5,6.4
2023-01-11,Nha Trang,Trung Bộ,28.4,1002.7,2.9,169,74.5,2.6,0.0,Mây,37.0,22.3,42.7,1.98,16.4,3.0,3.0
2023-01-11,Đà Lạt,Tây Nguyên,22.3,1001.2,1.9,138,68.2,6.0,0.0,Nắng,37.0,28.9,57.0,2.24,15.0,10.7,11.4
2023-01-11,Vũng Tàu,Nam Bộ,33.9,995.3,0.2,243,80.6,5.9,0.0,Nắng,40.0,26.0,48.4,1.69,22.7,7.5,9.1
2023-01-11,Hạ Long,Bắc Bộ,13.4,1002.3,0.9,2,72.7,6.8,0.0,Nắng,68.0,51.6,84.4,3.38,13.4,12.1,22.9
2023-01-12,Hà Nội,Bắc Bộ,13.6,998.0,5.7,48,68.7,2.1,0.0,Nắng,57.0,48.1,87.4,2.78,10.1,9.7,17.9
2023-01-12,TP Hồ Chí Minh,Nam Bộ,33.0,1006.0,6.2,215,85.2,3.9,0.0,Mây,67.0,48.4,82.0,3.37,10.5,7.7,11.7
2023-01-12,Đà Nẵng,Trung Bộ,27.6,1003.3,3.0,41,68.4,5.5,6.4,Mưa vừa,52.0,41.4,57.8,2.37,11.9,15.8,13.8
2023-01-12,Hải Phòng,Bắc Bộ,11.1,998.9,1.2,11,51.5,1.6,0.0,Nắng,60.0,32.3,73.4,2.48,13.1,12.7,12.1
2023-01-12,Cần Thơ,Nam Bộ,29.3,991.9,5.6,177,72.7,9.2,0.0,Mây,55.0,43.7,72.8,3.16,6.9,7.0,5.9
2023-01-12,Huế,Trung Bộ,27.3,989.9,1.3,236,77.3,2.3,0.0,Mây,38.0,29.7,35.1,3.09,5.9,5.2,6.4
2023-01-12,Nha Trang,Trung Bộ,32.5,994.9,1.9,330,68.3,5.2,0.0,Mây,44.0,32.7,50.3,2.28,7.0,14.3,26.6
2023-01-12,Đà Lạt,Tây Nguyên,15.0,1003.7,3.8,200,60.0,6.4,0.0,Nắng,15.0,10.1,10.4,0.79,11.9,5.1,2.3
2023-01-12,Vũng Tàu,Nam Bộ,35.3,988.5,1.4,244,80.8,0.1,0.0,Nắng,64.0,50.9,83.6,3.07,5.7,6.7,16.8
2023-01-12,Hạ Long,Bắc Bộ,13.9,996.5,1.5,23,65.8,5.2,0.0,Nắng,55.0,34.8,63.1,3.33,1.3,7.9,13.6
2023-01-13,Hà Nội,Bắc Bộ,20.8,1000.5,4.1,119,70.6,1.3,0.0,Nắng,72.0,51.2,90.9,4.17,13.0,8.7,13.6
2023-01-13,TP Hồ Chí Minh,Nam Bộ,32.1,997.9,0.8,242,56.3,1.9,0.0,Nắng,58.0,46.9,75.5,3.09,9.2,4.6,16.0
2023-01-13,Đà Nẵng,Trung Bộ,31.9,997.2,4.8,81,64.7,3.9,0.0,Nắng,51.0,42.5,67.3,3.09,4.2,6.6,17.9
2023-01-13,Hải Phòng,Bắc Bộ,25.8,998.8,4.5,1,62.1,2.4,0.0,Nắng,53.0,42.1,75.2,2.77,13.9,1.6,14.1
2023-01-13,Cần Thơ,Nam Bộ,32.7,1000.5,1.1,232,71.7,3.1,0.0,Mây,57.0,38.3,45.4,3.1,15.0,0.0,39.0
2023-01-13,Huế,Trung Bộ,31.0,991.1,0.5,214,73.2,1.9,0.0,Nắng,38.0,28.8,50.2,2.33,0.0,11.4,8.5
2023-01-13,Nha Trang,Trung Bộ,31.7,1005.7,4.1,233,83.6,2.4,0.0,Mây,51.0,37.1,45.9,3.36,13.3,3.4,14.7
2023-01-13,Đà Lạt,Tây Nguyên,19.3,998.8,3.4,10,70.3,0.8,1.7,Mưa nhẹ,30.0,18.0,8.4,2.16,0.2,9.8,0.0
2023-01-13,Vũng Tàu,Nam Bộ,31.5,1000.0,2.0,19,67.5,3.7,0.0,Nắng,57.0,38.8,59.5,2.37,13.3,6.3,5.1
2023-01-13,Hạ Long,Bắc Bộ,16.6,1005.3,4.1,316,75.5,6.0,0.0,Nắng,64.0,52.2,74.5,3.75,16.4,10.0,12.6
2023-01-14,Hà Nội,Bắc Bộ,18.5,1002.1,1.1,288,69.3,2.5,5.2,Mưa vừa,71.0,43.7,66.3,3.58,5.0,11.8,17.6
2023-01-14,TP Hồ Chí Minh,Nam Bộ,33.5,1002.1,2.9,274,76.7,2.1,4.7,Mưa nhẹ,60.0,49.4,68.8,3.25,17.2,9.1,11.0
2023-01-14,Đà Nẵng,Trung Bộ,27.9,1000.1,6.7,357,79.8,2.1,0.0,Mây,42.0,31.2,42.7,2.26,3.6,2.2,18.2
2023-01-14,Hải Phòng,Bắc Bộ,20.4,998.5,2.2,115,70.8,1.4,0.0,Nắng,47.0,41.8,67.7,3.07,15.1,2.7,5.0
2023-01-14,Cần Thơ,Nam Bộ,27.6,1004.0,8.6,60,70.5,4.0,0.0,Nắng,61.0,50.8,68.8,3.35,8.9,5.3,6.1
2023-01-14,Huế,Trung Bộ,25.9,995.9,1.9,359,77.6,1.7,0.0,Nắng,75.0,53.6,70.1,3.15,22.8,7.9,14.5
2023-01-14,Nha Trang,Trung Bộ,27.1,998.9,4.2,308,88.5,1.2,0.0,Nắng,45.0,36.2,42.2,2.22,13.1,3.5,13.5
2023-01-14,Đà Lạt,Tây Nguyên,20.1,992.7,0.4,183,77.0,12.0,0.0,Mây,55.0,31.8,56.8,3.21,12.0,7.7,13.2
2023-01-14,Vũng Tàu,Nam Bộ,32.2,1000.5,1.4,233,65.7,0.2,0.0,Mây,66.0,51.1,80.1,3.18,10.0,8.7,25.5
2023-01-14,Hạ Long,Bắc Bộ,18.1,994.2,1.2,262,71.4,3.9,0.0,Nắng,33.0,19.7,27.3,1.15,3.4,2.4,6.7
2023-01-15,Hà Nội,Bắc Bộ,16.6,996.1,2.7,248,61.1,2.7,0.0,Nắng,76.0,57.4,105.6,3.87,13.0,21.6,23.6
2023-01-15,TP Hồ Chí Minh,Nam Bộ,32.6,999.7,20.4,359,80.3,3.7,0.0,Mây,67.0,54.7,81.6,2.69,13.3,8.1,17.9
2023-01-15,Đà Nẵng,Trung Bộ,27.6,998.7,2.1,253,75.4,0.8,0.0,Nắng,55.0,39.6,43.5,2.53,10.9,4.2,16.3
2023-01-15,Hải Phòng,Bắc Bộ,18.8,1006.1,2.5,318,67.3,4.8,1.9,Mưa nhẹ,62.0,46.6,72.0,2.62,6.1,6.5,19.6
2023-01-15,Cần Thơ,Nam Bộ,33.5,1007.2,4.4,284,75.2,1.7,3.5,Mưa nhẹ,45.0,32.1,45.4,2.25,3.8,6.5,22.5
2023-01-15,Huế,Trung Bộ,26.6,1003.4,8.7,125,79.7,12.0,2.9,Mưa nhẹ,25.0,22.7,45.0,1.63,4.0,0.1,3.6
2023-01-15,Nha Trang,Trung Bộ,27.9,1001.1,3.4,140,77.6,0.1,0.8,Mưa nhẹ,47.0,27.4,35.7,1.86,12.7,8.0,23.3
2023-01-15,Đà Lạt,Tây Nguyên,21.8,998.4,4.4,127,62.2,1.1,0.0,Nắng,26.0,23.9,52.4,1.96,5.0,4.0,9.0
2023-01-15,Vũng Tàu,Nam Bộ,33.6,1001.2,3.1,154,69.2,1.7,0.0,Nắng,43.0,33.0,55.2,2.19,5.5,6.3,0.8
2023-01-15,Hạ Long,Bắc Bộ,17.0,999.3,4.4,162,71.9,1.3,0.0,Nắng,63.0,45.7,66.1,2.4,20.0,7.8,15.2
2023-01-16,Hà Nội,Bắc Bộ,20.5,997.9,11.5,97,72.1,4.1,0.0,Nắng,56.0,37.4,54.0,2.73,22.5,7.7,11.0
2023-01-16,TP Hồ Chí Minh,Nam Bộ,37.4,987.7,4.1,262,75.7,3.6,0.0,Nắng,81.0,53.6,75.2,5.27,14.7,6.5,10.4
2023-01-16,Đà Nẵng,Trung Bộ,31.0,997.7,3.8,119,80.2,2.8,2.2,Mưa nhẹ,56.0,44.3,70.4,2.58,13.9,8.4,9.7
2023-01-16,Hải Phòng,Bắc Bộ,20.7,1006.6,6.7,331,67.7,0.3,0.0,Nắng,54.0,48.6,62.0,2.03,11.0,13.1,5.5
2023-01-16,Cần Thơ,Nam Bộ,32.8,995.9,3.9,251,74.7,3.3,0.0,Nắng,71.0,59.8,95.6,4.0,15.3,11.5,10.4
2023-01-16,Huế,Trung Bộ,30.4,996.2,2.0,205,72.3,10.5,0.0,Nắng,46.0,35.7,36.0,2.4,4.5,15.9,15.9
2023-01-16,Nha Trang,Trung Bộ,29.8,1000.8,4.5,248,62.9,2.4,0.0,Nắng,27.0,13.7,17.5,1.58,12.3,3.1,3.8
2023-01-16,Đà Lạt,Tây Nguyên,19.6,987.2,1.3,8,63.3,1.2,0.0,Nắng,15.0,12.7,8.8,0.76,6.3,7.5,6.0
2023-01-16,Vũng Tàu,Nam Bộ,26.9,995.6,0.8,359,63.5,0.8,0.0,Nắng,60.0,37.7,58.0,2.44,14.9,4.3,13.8
2023-01-16,Hạ Long,Bắc Bộ,21.1,991.9,5.5,120,70.5,0.0,0.0,Nắng,66.0,52.8,84.0,3.8,12.4,12.9,12.2
2023-01-17,Hà Nội,Bắc Bộ,17.5,995.0,6.1,321,67.8,2.5,0.0,Nắng,72.0,52.1,77.9,2.9,25.0,8.3,18.5
2023-01-17,TP Hồ Chí Minh,Nam Bộ,30.2,1011.9,0.3,334,61.4,2.2,0.0,Nắng,81.0,59.5,83.5,5.08,19.3,13.8,19.3
2023-01-17,Đà Nẵng,Trung Bộ,29.9,995.5,3.9,327,74.9,3.0,0.0,Mây,61.0,37.8,44.0,2.85,16.8,7.5,17.9
2023-01-17,Hải Phòng,Bắc Bộ,19.5,994.2,3.4,27,76.9,1.0,0.0,Nắng,70.0,55.8,60.0,2.82,19.6,7.9,18.8
